Username,Tweet,Sentiment_Value
wilsonsnicks,Who let James Charles think he has any tangible talent outside of makeup? The bitch thinks he can sing and thinks he can just manipulate people. Sis you have one thing going for you stay in that lane,neutral
datyounghoey,"I know that no one asked for my opinion but I really started to see James Charles as problematic when he got mad at his fans for complaining about having 8 ads in a video. Like, you’re going to argue to the people that made you what you are? https://t.co/7guOajWlLO",negative
CyThatNerd,"Who's side are you on? James Charles or Tati Westbrook? 

#JamesCharles #Tati #TatiWestbrook #YouTube #Beauty",neutral
Mia49507320,"@josepintoj @m0m3030 Good summary haha. In addition, Tati was like a mother to James. She's supported him so much since all the way back when he was just getting started. In return, James Charles literally betrayed her for money.",positive
keleighhamptonn,@babyhayhayyy @IvyAlexuss @CaliKnight_ fr FUCK james charles!! tati basically MADE him and is the only reason he’s making the amount of $ he is now,negative
classyassmofo,Some of y’all forget that James Charles is still young. Like yes he’s treated as an adult because of his success but he’s still 19. I only just feel like I’m learning how to adult and growing up and I’m 24. It’s okay James. Mistakes happen. Just learn from it and grow ??,positive
Lymade_,Next person I see on my timeline talmbout ProJared or James Charles is getting the chair ??,neutral
365sotr4sh,"since queen tati just exposed james charles, just a reminder that pentagon did more for the beauty community in this one video than james charles ever will https://t.co/4GyLIHODkW",positive
UrenoVeronica,"Well since everyones talking about it, I honestly feel bad for James Charles. I’ve never really liked him and I find him disrespectful but after everything I don’t think he deserves all the backlash he’s getting. He made some pretty bad mistakes but I feel like we all have.",negative
BiodeEditable,"@lanooski Christ, James Charles is the gift for drama channels that just keeps on giving.",neutral
_aneesa21,James Charles lost over 1 million subscribers in 24 hours ?????? and the more you refresh the page more people unsubscribing,positive
filmthepengu,Can't be the only one listening to crab rave and watching james charles sub count go down can I?,negative
Mhona_styles,@umyikez OkAy okay. What did James Charles do!!!!! Someone should please fill me in,positive
Lisa_Maree,@hankgreen Is even Hank weighing in on James Charles?! ????,neutral
Madisoncarriee,Me looking at James Charles’ social blade https://t.co/UZDO0AHQB2,positive
taytayfanatica,"Idk but it was soooo satisfying to watch James Charles lose subscribers HAHA.
He deserves it ??

Thank u Tati ?? we stan a queen
#ByeSister",positive
SxmStxll,Ok but who tf is James Charles and why everyone is cancelling him spill the tea,positive
annaou25129622,"y’all it’s kinda crazy how all these celebrities are under attack 
•Gigi Hadid 
•Kim and Kanye 
•Shawn Mendes
•James Charles 
•Constance Wu 
LIKE PRESSED PRESSED",negative
SaniulHQ,Next time Tati sees James Charles: https://t.co/1hprbARKvP,neutral
luzdelatorre07,"Bye sisterrr
James Charles is cancelled https://t.co/hF8IQWr97i",neutral
monstalexus,These James Charles memes are legendary right now,positive
sixksadworld182,@gabeawaycar I can't believe that the tweet of yours that went diamond was about James Charles and not one of your video edits smh,neutral
BranthonyBerens,James Charles's Apology (Glee Cast Version),neutral
babylwthoney,james charles’ apologising video and youtube rewind 2018 fighting to become the most disliked video https://t.co/GY0Jtv5OW9,positive
chrisd2019_v2,James Charles went from having almost 17 mil subscribers to now almost all the way back to 14 mil. https://t.co/5q6qn1L96K,neutral
shallowrollers,omg james charles is losing sooooo many subscribers skdksksks https://t.co/RvqlIu7mLk,positive
namuluvr,Look James Charles has always been canceled it’s just fun to see someone drag him like how Tati did. That’s all.,positive
CalebBehm,???? Idk who these people are but it’s entertaining. Also James Charles career was ended at 19? He’s gonna be fine y’all most kids don’t even have a job yet at that age https://t.co/oGn6qMNGQQ,positive
trash_nugget_,"The only thought running through my head relating James Charles rn: ""By the way, you've been uninvited."" (Copycat by Billie Eilish)",neutral
