Username,Tweet,Sentiment_Value
happyotter0012,James Charles trying to get through his Australian meet and greet after Tati ended his career #byesisters #tati https://t.co/crfgFhwQJf,neutral
therebeccarants,"@softyxoonseok @lukas_crowder @purpIeuniverse James Charles is cancelled, Tati has taken the Iron Throne and Dracarysed his sub count. https://t.co/evZKiGgLMb",neutral
conevivi13,"""YouTuber Tati Westbrook airs her issues with James Charles""  https://t.co/s85UqZnL8A",neutral
papichula__,I?m living for this Tati &amp; James Charles tea ??,neutral
xxbubbleblitzxx,"I?ve never liked James Charles or liked to watch ANY videos associated with him, but let me tell you... Tati?s 43:09 video had me like https://t.co/QzHweFk2a9",positive
lovinhstylesx,everyone after watching Tati call out james charles for his shit https://t.co/lXncOD9FO3,negative
mymakeupismyart,@Lewtoons James Charles is a beauty influencer with 16mil followers. Tati Westbrook is a beauty influencer with 6mil followers but very respected in the beauty community. She was his BFF and mentor and he betrayed her for a brand deal. She exposed him in a YouTube video. Must watch,positive
Puppyfan4908,James Charles after tati ended his career https://t.co/TLzJSeRgMj,neutral
ElysseRhett,"#jamescharlesisoverparty #byesister jeffree star #metoo  tati @DayDaVonne_ #TheChallenge33 #CloseYoLegsToStraightMen 

James Charles : ""Hey, sisters!""  

Tati + EVERYBODY:

https://t.co/cnyGFRAgPN",neutral
GKatholos,James Charles's career be like... #jamescharlesisoverparty #JamesCharles #Tati @jamescharles @GlamLifeGuru https://t.co/qIGasTPZPB,neutral
graceeameliaa,watching drama between james charles and tati. https://t.co/NGcmZgmuDc,neutral
bangtanbynight,"James Charles apologising and shouting out to his mother in a vid meant for Tati is stupid. What, y'all can't txt that shit?? ??????",negative
LegitDirection,Someone please summarise the Tati and James Charles drama because I don't feel like watching Tati's 43 minute YouTube video https://t.co/dTIVgtax7t,neutral
NOELLEaDeVil,Not to be a bare minimum human being but the James Charles/Tati Westbrook drama is EXACTLY the summer scandal I needed to make me forget about all my crushing problems,positive
goddsz,I wish James Charles sang his Tati apology??,neutral
skybluegguk,"omg James Charles is down to 15mil. tati is so powerful, we stan https://t.co/QOMvF1s03Y",positive
xkytlv,james charles amd tati mix up. is the highlight of my day,neutral
DimagibaErvin,"tati brought james charles into the beauty community, now she?s taking him out. bye SISTER https://t.co/xlNYcegZu3",neutral
Rach_Haylee,James Charles looking at his follower dropping after Tati?s video was released #jamescharlesisoverparty https://t.co/YRjMKQJ2g1,neutral
carosjinxed,"@solaurennn This is a general TL;DR - the shortest I could find!

https://t.co/BXOBJA35Mo",positive
JonathanJPSmith,@0CEANEYESBILLIE @starkstbjzl From what I can gather James Charles likes to go after and pressure straight men into having sexual relations of some kind with him and that he has also started promoting a vitamin company that?s a rival to Tatis vitamin company and Tati isn?t having any of it,positive
Amber_Crousore,James Charles subscribers after Tati's video #jamescharlesisoverparty #ByeSister #JamesCharles #Rip https://t.co/siz3okhmqc,neutral
lew_mans,@flyingtaacos @KEEMSTAR @jamescharles beauty YouTuber tati exposes James Charles for being snakey and extremely egotistical. James releases a mediocre apology.,negative
ddiminsi,"sat down got myself a cup of tea and i am WATCHIG tati?s 43 minute video exposing james charles bc we all need the tea in our lives,,, an exposing today!!!",negative
collarsfuII,Tati brought James Charles into this world and now she had to take him out. #dontbitethehandthatfeedsyou #Tati #jamescharlesisoverparty,neutral
TruongAndrea,james charles and tati should definitely switch subs numbers,neutral
598013C,"James Charles &amp; Tati fans are all children so they?ll find these videos amusing but if you are truly my friend and we stopped being friends, I?ll NEVER expose you.",positive
rioaditomo,This Tati &amp; James Charles mess is so relatable! Especially to those who always value their friendship but get nothing in return. It must be so painful to accept that you've being let down by the one that you thought would never hurt you &amp; stick with you until the end. #TeamTati,negative
TheCognificent1,"OK... Looks like @1RealDramaQueen and I have set up a show for 10am CT tomorrow to look at the James Charles &amp; Tati Westbrook drama with the whole Gage Gomez &amp; even sponsorship to spit in Tati's face lore.
See you all then. (:",positive
whoisloraaa,i never had an issue with james charles before but unsubscribing to him is just a casualty since we protect tati westbrook at all costs out here,neutral
EmmyKubatzke,Me and my boyfriend as I fill him in on the tea between Tati and James Charles: https://t.co/e5TeRkYrRd,neutral
JaniceKross,james charles before and after tati released the phoenix https://t.co/fUU0TPRnJG,neutral
layalgacham,tati changing her mind on her way to confront james charles https://t.co/4lQi1OreZo,neutral
racheljuliettex,Im just up watching the james charles vs tati drama???????,neutral
ShesNotAfraid33,Catching up on all this James Charles Tati drama ????,positive
hanweavs,"james charles is LITERALLY cancelled. tati has always been my number 1 since i started getting into makeup. i can?t even believe the amount of disrespect, toxicity, and manipulation he put on her. he needs real help &amp; i never thought i would even say this.",positive
daniplss,Tati dragging James Charles for 45 mins and him losing 1m subscribers right after I finished the video is fucking gold,negative
fairybottles,im screaming over this tati and james charles drama,neutral
fasiiing,Tati and James Charles............ Uhmm,neutral
graaxce,back from walmart with 4 different sheet masks which means im officially ready to watch tati end james charles career for 43 minutes,positive
morganxcarroll,Sister Sinking (James Charles/Tati/Daniel Zamora Subcount Palooza) https://t.co/QZO8KDCPov via @YouTube ??????,neutral
chloe22023579,James Charles CANCELLED? #ByeSister someone tell me what happened to Tati and James Charles!!,neutral
Roby59774736,@RichLux713 What annoyed me alot is that James Liar Charles has let his 'friend' Gabby run his mouth about Tati and not told him to shut up. Like if she means that much to you don't allow your 'friends' to bad mouth her.,negative
laurensofresh,"For someone who has recently gotten into all the YouTube famous people, this Tati/James Charles thing is v exciting for me",positive
ayogetoffmyd,this is me watching Tati?s video on James Charles even though i?m not involved in the beauty community at all https://t.co/vOdQplSRdE,neutral
Eyjeeyyy,tati spilling some tea abt james charles oOff brb,neutral
00sgasms,tati to james charles when she finds out what he?s been doing to straight men https://t.co/lBNrlVM1On,positive
ItsHazardYT,James Charles Losing Subs EXPLAINED! #DramaAlert Tati Westbrook UNLEASHE... https://t.co/cTR0XupLs2 via @YouTube,neutral
MarrySubhi,"OMG OMG OMG OMG OMG SO JEFREE STAR CLAPPED BACKED AT JAMES CHARLES BY THROWING STUBLE SHADE AT HIM,  it is SAFE TO ASSUME AT THIS POINT THAT HE IS SIDING WITH Tati. 

Give me the god damn tea. OMG OMG OMG OMG OMG https://t.co/U6sncA1PGM",positive
TaylorHagen_,@joelymorgyn_ @andrearankin12 you see i have found the answer and it includes pictures https://t.co/URYKHpKXq7,neutral
RejieGrande,"Jeffree, shane, and tati saying goodbye to James charles: https://t.co/1kQIjJf5HI",neutral
Eddiewyn,"I wonder what it feels like to lose 100 subscribers EVERY second. James Charles is dying on the inside. Tati is a goddess and I'm so glad she is so bold, honest, and brave.",positive
_katshannon_,"?Cracking someone?s sexuality is not an escape room? LMAOOO she REALLY had to do it to ?em. Tati (@GlamLifeGuru) snapped in the classiest way possible. I?m honestly ashamed that I EVER supported James Charles, what a manipulative and truly disturbed individual.",positive
edwardpeguero1,When Tati Westbrook gained almost 500k new subscribers in 1 day and James Charles lost almost 600k in total in the past 5 days ?????? yikes,negative
cheryltksl,"the whole james charles &amp; tati situation shed a hell lot of light on verbal harassment by gay men towards straight men.

This is something everyone should remember - REGARDLESS your sexuality harrassment is STILL harrassment.",positive
SohailBuddy,"forget tati, James Charles, Shane, and all these other problematic youtubers. jenna marbles been the youtuber who have been fun and unproblematic since the beginning.  love you jenna! https://t.co/7KUxqQnnNR",positive
nicolechongx,tati rlly built james charles career and tore it down hsjdkcklv,negative
charljustine_,"Here to follow James Charles and Tati drama. ?

But dear my fellow sistah, dont drag Shawn into this. 

Charot.",negative
anjeleei,"been a subscriber of james charles since then, but when tati posted that video i'm like shookt.i never knew james would say gross stuff like that in front of his parents and tati's parents as well. that would be so disgusting. but just want to say i have so much respect for tati.",negative
kimbapnoodle,"Bruh at this point, this Tati and James Charles mess is dumb and ppl r really trying to hype it up bc they want drama?????",negative
lilylily3xoxo,"I sat through that 43 minutes video..
Tati is so damn humble and classy while she tears James Charles to shreads..
https://t.co/luruLkVXYE",negative
GKatholos,"If you joined the unsubscribe James Charles movement, plz retweet! #jamescharlesisoverparty #JamesCharles #Tati @jamescharles @GlamLifeGuru https://t.co/DR3FECKlnQ",neutral
alexandriablott,"If anyone is as confused as me abt the drama, this broke it down v nicely

The End Of Tati And James Charles' Friendship Has Left Me Sister Shook https://t.co/10HB6cvdrA",positive
dazeymn,anyways uh can i get the sparknotes version of this james charles / tati westbrook thing pls i don?t have time for a 45 min video,neutral
fran2co,i thought James Charles was wise as i watched him the other day stripped  naked by Tati with his balls and rod pointing to one direction https://t.co/ZpxROJz2rV,positive
sasshole___,I watched Tati?s entire 43 minute video of her so elegantly DRAGGING James Charles today and I couldn?t be happier ???????,positive
yoonmilked,"tati westbrook has always been the realest, james charles doesnt deserve her",neutral
thomas_jaida,I don?t even mess with James Charles or nothin and that Tati video just proved what I felt about him all along: irrelevant,negative
ChloePaez,Tati exposed James Charles in the most respectful and humblest way possible love her,positive
